PMC3914197.nxml.gz-12,"[['635'], ['648'], 'possibilities', 'possibilities', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_4']"
PMC3914197.nxml.gz-14,"[['743'], ['747'], 'rare', 'rare', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_6']"
PMC3914197.nxml.gz-20,"[['935'], ['942'], 'usually', 'usually', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_7']"
PMC3914197.nxml.gz-26,"[['4068'], ['4072'], 'rare', 'rare', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_33']"
PMC3914197.nxml.gz-29,"[['4178'], ['4185'], 'usually', 'usually', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_34']"
PMC3914197.nxml.gz-31,"[['4321'], ['4331'], 'is thought', 'is_thought', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_35']"
PMC3914197.nxml.gz-32,"[['4324'], ['4334'], 'thought to', 'thought_to', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_35']"
PMC3914197.nxml.gz-36,"[['4946'], ['4959'], 'primary known', 'incomplete_evidence', 'incomplete_evidence', 'PMC3914197.nxml.gz_41']"
PMC3914197.nxml.gz-39,"[['5215'], ['5228'], 'is considered', 'incomplete_evidence', 'incomplete_evidence', 'PMC3914197.nxml.gz_42']"
PMC3914197.nxml.gz-4,"[['123'], ['127'], 'rare', 'rare', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_0']"
PMC3914197.nxml.gz-41,"[['5383'], ['5386'], 'may', 'may', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_43']"
PMC3914197.nxml.gz-43,"[['5538'], ['5551'], 'is considered', 'incomplete_evidence', 'incomplete_evidence', 'PMC3914197.nxml.gz_45']"
PMC3914197.nxml.gz-47,"[['5627'], ['5635'], 'has been', 'has_been', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_46']"
PMC3914197.nxml.gz-48,"[['5636'], ['5648'], 'hypothesized', 'hypothesized', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_46']"
PMC3914197.nxml.gz-5,"[['133'], ['148'], 'well recognized', 'incomplete_evidence', 'incomplete_evidence', 'PMC3914197.nxml.gz_0']"
PMC3914197.nxml.gz-53,"[['6140'], ['6154'], 'it is possible', 'it_is_possible', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_50']"
PMC3914197.nxml.gz-54,"[['6175'], ['6180'], 'could', 'could', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_50']"
PMC3914197.nxml.gz-55,"[['6263'], ['6268'], 'could', 'could', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_50']"
PMC3914197.nxml.gz-5898,"[['269'], ['292'], 'high index of suspicion', 'incomplete_evidence', 'incomplete_evidence', 'PMC3914197.nxml.gz_2']"
PMC3914197.nxml.gz-60,"[['6645'], ['6648'], 'may', 'may', 'INCOMPLETE_EVIDENCE', 'PMC3914197.nxml.gz_52']"
