BERT										
	train+teat					evaluation				
	acc	f1 score	recall	pression	count	acc	f1 score	recall	pression	count
SUPERFICIAL RELATIONSHIP	0.83	0.91	0.83	1	1965	0.76	0.87	0.76	1	1072
QUESTION ANSWERED BY THIS WORK	0.98	0.99	0.98	1	479	0.93	0.97	0.93	1	168
PROBLEM COMPLICATION	0.85	0.92	0.85	1	324	0.54	0.7	0.54	1	202
PROBABLE UNDERSTANDING	0.93	0.96	0.93	1	523	0.81	0.9	0.81	1	312
INCOMPLETE EVIDENCE	0.68	0.81	0.68	1	1582	0.44	0.61	0.44	1	225
IMPORTANT CONSIDERATION	0.99	1	0.99	1	735	1	1	1	1	491
FUTURE WORK	0.71	0.83	0.71	1	869	0.5	0.67	0.6	1	195
FUTURE PREDICTION	0.81	0.9	0.81	1	178	0.78	0.88	0.78	1	55
FULL UNKNOWN	0.8	0.89	0.8	1	347	0.67	0.8	0.67	1	63
EXPLICIT QUESTION	0.78	0.87	0.78	1	524	0.75	0.86	0.75	1	92
DIFFICULT TASK	0.85	0.92	0.85	1	342	0.9	0.95	0.9	1	93
ANOMALY CURIOUS FINDING	0.87	0.93	0.87	1	479	0.92	0.96	0.92	1	149
ALTERNATIVE OPTIONS CONTROVERSY	0.71	0.83	0.71	1	942	0.28	0.43	0.71	1	441
ALL CATEGORIES BINARY	0.71	0.83	0.71	1	3354	0.28	0.43	0.28	1	2005
