PMC4992225.nxml.gz-135,"[['7904'], ['7912'], 'contrary', 'contrary', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_59']"
PMC4992225.nxml.gz-144,"[['8353'], ['8364'], 'differences', 'differences', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_62']"
PMC4992225.nxml.gz-156,"[['10639'], ['10645'], 'rather', 'rather', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_74']"
PMC4992225.nxml.gz-165,"[['11130'], ['11139'], 'different', 'different', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_79']"
PMC4992225.nxml.gz-206,"[['15788'], ['15795'], 'whether', 'whether', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_118']"
PMC4992225.nxml.gz-213,"[['17396'], ['17403'], 'However', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_139']"
PMC4992225.nxml.gz-215,"[['17415'], ['17424'], 'different', 'different', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_139']"
PMC4992225.nxml.gz-222,"[['22393'], ['22398'], 'While', 'while', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_162']"
PMC4992225.nxml.gz-228,"[['23254'], ['23261'], 'However', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_168']"
PMC4992225.nxml.gz-235,"[['23891'], ['23898'], 'However', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_173']"
PMC4992225.nxml.gz-239,"[['24363'], ['24368'], 'While', 'while', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_176']"
PMC4992225.nxml.gz-278,"[['27613'], ['27624'], 'Nonetheless', 'nonetheless', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_195']"
PMC4992225.nxml.gz-281,"[['27712'], ['27723'], 'In contrast', 'in_contrast', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_196']"
PMC4992225.nxml.gz-28569,"[['28114'], ['28125'], 'compared to', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4992225.nxml.gz_197']"
PMC4992225.nxml.gz-300,"[['29981'], ['29988'], 'However', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_218']"
PMC4992225.nxml.gz-315,"[['30672'], ['30677'], 'While', 'while', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_222']"
PMC4992225.nxml.gz-329,"[['31534'], ['31543'], 'different', 'different', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_226']"
PMC4992225.nxml.gz-345,"[['32294'], ['32304'], 'except for', 'alternative_options_controversy', 'alternative_options_controversy', 'PMC4992225.nxml.gz_232']"
PMC4992225.nxml.gz-351,"[['32576'], ['32587'], 'Nonetheless', 'nonetheless', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_235']"
PMC4992225.nxml.gz-359,"[['32887'], ['32898'], 'nonetheless', 'nonetheless', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_237']"
PMC4992225.nxml.gz-366,"[['33153'], ['33160'], 'However', 'however', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_239']"
PMC4992225.nxml.gz-370,"[['33329'], ['33346'], 'On the other hand', 'on_the_other_hand', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PMC4992225.nxml.gz_240']"
