	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Vitamin	NNP	0	7	O	None	None	None
1	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	D	NNP	8	9	O	None	None	None
2	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	status	NN	10	16	O	None	None	None
3	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	of	IN	17	19	O	None	None	None
4	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	children	NNS	20	28	O	None	None	None
5	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	with	IN	29	33	O	None	None	None
6	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	severe	JJ	34	40	O	None	None	None
7	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	early	JJ	41	46	O	None	None	None
8	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	childhood	NN	47	56	O	None	None	None
9	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	caries	NNS	57	63	O	None	None	None
10	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	:	:	63	64	O	None	None	None
11	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	a	DT	65	66	O	None	None	None
12	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	case	NN	67	71	O	None	None	None
13	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	–	NNP	71	72	O	None	None	None
14	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	control	NN	72	79	O	None	None	None
15	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	study	NN	80	85	O	None	None	None
16	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Abstract	NNP	87	95	O	None	None	None
17	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Background	NNP	97	107	O	None	None	None
18	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Severe	NNP	108	114	O	None	None	None
19	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Early	NNP	115	120	O	None	None	None
20	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Childhood	NNP	121	130	O	None	None	None
21	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Caries	NNP	131	137	O	None	None	None
22	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	(	(	138	139	O	None	None	None
23	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	S	NNP	139	140	O	None	None	None
24	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	-	:	140	141	O	None	None	None
25	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	ECC	NN	141	144	O	None	None	None
26	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	)	)	144	145	O	None	None	None
27	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	affects	VBZ	146	153	O	None	None	None
28	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	the	DT	154	157	O	None	None	None
29	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	health	NN	158	164	O	None	None	None
30	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	and	CC	165	168	O	None	None	None
31	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	well	RB	169	173	O	None	None	None
32	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	-	:	173	174	O	None	None	None
33	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	being	VBG	174	179	O	None	None	None
34	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	of	IN	180	182	O	None	None	None
35	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	young	JJ	183	188	O	None	None	None
36	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	children	NNS	189	197	O	None	None	None
37	PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	.	.	197	198	O	None	None	None
38	PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	There	EX	199	204	O	None	None	None
39	PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	is	VBZ	205	207	O	None	None	None
40	PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	limited	JJ	208	215	O	None	None	None
41	PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	research	NN	216	224	O	None	None	None
42	PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	in	IN	225	227	O	None	None	None
43	PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	this	DT	228	232	O	None	None	None
