PMC2898025.nxml.gz-142,"[['12010'], ['12032'], 'not clearly understood', 'full_unknown', 'full_unknown', 'PMC2898025.nxml.gz_69']"
PMC2898025.nxml.gz-174,"[['13408'], ['13423'], 'Little is known', 'little...is_known', 'FULL_UNKNOWN', 'PMC2898025.nxml.gz_78']"
PMC2898025.nxml.gz-180,"[['13559'], ['13570'], 'interpreted', 'full_unknown', 'full_unknown', 'PMC2898025.nxml.gz_79']"
PMC2898025.nxml.gz-19,"[['751'], ['766'], 'remains elusive', 'remains_elusive', 'FULL_UNKNOWN', 'PMC2898025.nxml.gz_5']"
PMC2898025.nxml.gz-205,"[['14837'], ['14845'], 'no clear', 'full_unknown', 'full_unknown', 'PMC2898025.nxml.gz_86']"
PMC2898025.nxml.gz-23,"[['962'], ['969'], 'unravel', 'full_unknown', 'full_unknown', 'PMC2898025.nxml.gz_8']"
PMC2898025.nxml.gz-262,"[['17735'], ['17739'], 'lack', 'lack', 'FULL_UNKNOWN', 'PMC2898025.nxml.gz_104']"
PMC2898025.nxml.gz-409,"[['25364'], ['25376'], 'unidentified', 'full_unknown', 'full_unknown', 'PMC2898025.nxml.gz_149']"
PMC2898025.nxml.gz-475,"[['27630'], ['27637'], 'unknown', 'unknown', 'FULL_UNKNOWN', 'PMC2898025.nxml.gz_162']"
PMC2898025.nxml.gz-6,"[['224'], ['231'], 'unknown', 'unknown', 'FULL_UNKNOWN', 'PMC2898025.nxml.gz_1']"
PMC2898025.nxml.gz-72,"[['5064'], ['5079'], 'remains elusive', 'remains_elusive', 'FULL_UNKNOWN', 'PMC2898025.nxml.gz_33']"
PMC2898025.nxml.gz-74,"[['5081', '5126'], ['5083', '5136'], 'No ... identified', 'full_unknown', 'full_unknown', 'PMC2898025.nxml.gz_34']"
