PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Vitamin	NNP	0	7	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	D	NNP	8	9	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	status	NN	10	16	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	of	IN	17	19	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	children	NNS	20	28	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	with	IN	29	33	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	severe	JJ	34	40	B	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	early	JJ	41	46	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	childhood	NN	47	56	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	caries	NNS	57	63	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	:	:	63	64	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	a	DT	65	66	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	case	NN	67	71	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	–	NNP	71	72	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	control	NN	72	79	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	study	NN	80	85	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Abstract	NNP	87	95	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Background	NNP	97	107	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Severe	NNP	108	114	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Early	NNP	115	120	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Childhood	NNP	121	130	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	Caries	NNP	131	137	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	(	(	138	139	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	S	NNP	139	140	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	-	:	140	141	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	ECC	NN	141	144	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	)	)	144	145	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	affects	VBZ	146	153	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	the	DT	154	157	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	health	NN	158	164	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	and	CC	165	168	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	well	RB	169	173	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	-	:	173	174	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	being	VBG	174	179	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	of	IN	180	182	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	young	JJ	183	188	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	children	NNS	189	197	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_0	0	198	.	.	197	198	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	There	EX	199	204	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	is	VBZ	205	207	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	limited	JJ	208	215	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	research	NN	216	224	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	in	IN	225	227	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	this	DT	228	232	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	area	NN	233	237	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	,	,	237	238	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	though	IN	239	245	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	evidence	NN	246	254	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	suggests	VBZ	255	263	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	that	IN	264	268	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	children	NNS	269	277	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	with	IN	278	282	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	S	NNP	283	284	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	-	:	284	285	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	ECC	NN	285	288	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	are	VBP	289	292	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	at	IN	293	295	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	an	DT	296	298	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	increased	VBN	299	308	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	risk	NN	309	313	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	of	IN	314	316	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	malnutrition	NN	317	329	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_1	199	330	.	.	329	330	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	The	DT	331	334	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	purpose	NN	335	342	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	of	IN	343	345	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	this	DT	346	350	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	study	NN	351	356	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	was	VBD	357	360	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	to	TO	361	363	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	determine	VB	364	373	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	the	DT	374	377	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	association	NN	378	389	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	between	IN	390	397	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	vitamin	NN	398	405	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	D	NNP	406	407	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	(	(	408	409	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	25	CD	409	411	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	(	(	411	412	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	OH	NNP	412	414	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	)	)	414	415	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	D	NNP	415	416	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	)	)	416	417	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	levels	NNS	418	424	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	and	CC	425	428	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	S	NNP	429	430	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	-	:	430	431	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	ECC	NN	431	434	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_2	331	435	.	.	434	435	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	Methods	NNS	437	444	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	This	DT	445	449	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	case	NN	450	454	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	–	VBZ	454	455	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	control	NN	455	462	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	study	NN	463	468	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	was	VBD	469	472	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	conducted	VBN	473	482	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	from	IN	483	487	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	2009	CD	488	492	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	to	TO	493	495	O	None	None	None
PMC4231606.nxml.gz	PMC4231606.nxml.gz_3	437	543	2011	CD	496	500	O	None	None	None
